Por favor seleccione el curso,Marca temporal,¿Cuál cree que es la principal razón por su bajo desempeño en el primer previo de este curso?,¿Alguna otra razón por la cual tuvo bajo desempeño en el primer previo de este curso?,Año,Mes
Análisis de Circuitos en C.D.,2023-11-16 14:28:01,No me preparé lo suficiente para el examen,Ninguna,2023,11
Análisis de Circuitos en C.D.,2023-11-16 14:28:28,Tengo dificultades por temas familiares,"Al tener algunos problemas personales, no dediqué el tiempo suficiente para estudiar los temas vistos",2023,11
Análisis de Circuitos en C.D.,2023-11-16 14:28:38,Tengo dificultades por temas laborales,"Tiempo para prepararme, por temas laborales y de tiempo se me dificultó a la hora de prepararme para el examen ",2023,11
Análisis de Circuitos en C.D.,2023-11-16 14:28:42,Tengo dificultades por temas laborales,No comprendí tan Bien todos los temas y no tuve el espacio para poder estudiar Bien los temas,2023,11
Análisis de Circuitos en C.D.,2023-11-16 14:30:11,Tengo dificultades por temas laborales,"Tuve una mala nota en el primer parcial debido a que tengo que trabajar 4 horas diarias, trabajo a medio tiempo. Mi tiempo de estudio es acortado, por lo que cada que tengo tiempo estudio en lo posible la materia de análisis, que de hecho es la materia que más horas de estudio le he dedicado, sin embargo no he sido suficiente para lograr aprobar con una nota aceptable ",2023,11
Análisis de Circuitos en C.D.,2023-11-16 14:30:27,No comprendo los temas explicados,Me preparo y estudio los temas del previo pero al momento de presentarlo no encuentro forma de solucionar el punto ,2023,11
Análisis de Circuitos en C.D.,2023-11-16 14:30:49,La temática evaluada es muy amplia,"Considero que se evaluaron muchos temas, son un poco enredados y el tiempo para estudiar fue muy poca, ya que también se tuvo que preparar los demás parciales ",2023,11
Análisis de Circuitos en C.D.,2023-11-16 14:34:18,Tengo dificultades por temas familiares,"Además de ello tengo dificultad con la organización y distribución de mi tiempo para dar solución a los deberes de esta y otras materias que también son importantes, por lo cual no me alcanzó el tiempo para preparar debidamente el examen ",2023,11
Física Electromagnética,2023-11-20 07:14:36,Tengo dificultades por temas familiares,En general falto organización para estudiar.,2023,11
Física Electromagnética,2023-11-20 07:14:48,No me preparé lo suficiente para el examen,No,2023,11
Física Electromagnética,2023-11-20 07:14:59,No me preparé lo suficiente para el examen,No,2023,11
Física Electromagnética,2023-11-20 07:15:10,Las explicaciones del docente no son claras,La profesora no supo explicar bien los temas,2023,11
Física Electromagnética,2023-11-20 07:16:04,No comprendo los temas explicados,"No estudie lo suficiente, y los temas eran extensos ",2023,11
Física Electromagnética,2023-11-20 07:16:56,No me preparé lo suficiente para el examen,La poca disponibilidad de tiempo debido a cuestiones laborales ,2023,11
Física Electromagnética,2023-11-20 07:17:17,No comprendo los temas explicados,Porque me quedaron muy seguidos los exámenes de las otras materias y no me puedo concentrar en una sola materia ,2023,11
Física Electromagnética,2023-11-20 07:18:43,Tengo dificultades por temas laborales,Sobre carga por otras materias,2023,11
Física Electromagnética,2023-11-20 07:18:59,No comprendo los temas explicados,"No comprendo todos los temas explicados, y al evaluarlos no termino de entender como desarrollar o plantear una solución a los temas propuestos habiendo tenido una previa preparación para el mismo ",2023,11
Física Electromagnética,2023-11-20 07:19:25,No me preparé lo suficiente para el examen,No comprendo todos los temas que además la temática evaluada es muy amplia y no me preparé bien por cuestiones laborales que me dejan poco tiempo para estudiar fuera de las horas de clase ,2023,11
Física Electromagnética,2023-11-20 07:19:35,No comprendo los temas explicados,Preparación insuficiente ,2023,11
Física Electromagnética,2023-11-20 07:19:36,La temática evaluada es muy amplia,"El profesor explica bien, lo cierto es que la manera de evaluar el exámen no me parece del todo correcta, use otro tipo de fórmulas para llegar a la respuesta y no me la valió.",2023,11
Física Electromagnética,2023-11-20 07:20:42,No me preparé lo suficiente para el examen,Ninguna,2023,11
Física Electromagnética,2023-11-20 07:21:07,Tengo dificultades por temas laborales,No tuve comprensión de todos los temas ,2023,11
Física Electromagnética,2023-11-20 07:21:19,No me preparé lo suficiente para el examen,Los procedimientos que maneja el profesor dentro del parcial resultan algo engorrosos a los que yo podría realizar en 2 horas,2023,11
Física Electromagnética,2023-11-20 07:36:01,No comprendo los temas explicados,La verdad siento que los temas este semestre se han visto demasiado rápido y no da tiempo de comprender y analizar los temas,2023,11
Electrónica I,2023-11-20 09:10:31,Tengo dificultades por temas laborales,Estudié con un libro cuyos ejercicios no estuvieron al nivel del previo,2023,11
Electrónica I,2023-11-20 09:10:33,Tengo dificultades por temas laborales,"Al tener poco tiempo de estudio, y estudiar hasta tarde, ha tenido un impacto en el desempeño de mis actividades ",2023,11
Electrónica I,2023-11-20 09:11:49,La temática evaluada es muy amplia,"Los temas todos van de la mano pero son muchos y cuando hay que evaluarlos de la magnitud que son se mezclan muchas cosas, siento que tenía claro pero tenía muchos inconvenientes en la definición.
También me falto un poco de esfuerzo y hacer más énfasis en cada tema.  ",2023,11
Electrónica I,2023-11-20 09:12:16,No me preparé lo suficiente para el examen,Nervios ,2023,11
Electrónica I,2023-11-20 09:13:38,Las explicaciones del docente no son claras,"La temática para el primer previo es bastante amplia lo cual requiere de comprender muy bien los temas, por lo cual es importante que la información sea clara y precisa, otro punto es que el tiempo siempre es corto debido al calendario académico, así qué hay muchos factores que afectan a esta problemática.",2023,11
